	P-Surprise	P-Sadness	P-None	P-Fear	P-Disgust	P-Anger	R-Surprise	R-Sadness	R-None	R-Fear	R-Disgust	R-Anger	F1-Surprise	F1-Sadness	F1-None	F1-Fear	F1-Disgust	F1-Anger
1	70.5882352941177	73.6842105263158	43.1372549019608	100	60	93.3333333333333	90.5660377358491	96.551724137931	88	36	77.7777777777778	42.4242424242424	79.3388429752066	83.5820895522388	57.8947368421053	52.9411764705882	67.7419354838709	58.3333333333333
	P-Surprise	P-Sadness	P-None	P-Fear	P-Disgust	P-Anger	R-Surprise	R-Sadness	R-None	R-Fear	R-Disgust	R-Anger	F1-Surprise	F1-Sadness	F1-None	F1-Fear	F1-Disgust	F1-Anger
1	70.5882352941177	73.6842105263158	43.1372549019608	100	60	93.3333333333333	90.5660377358491	96.551724137931	88	36	77.7777777777778	42.4242424242424	79.3388429752066	83.5820895522388	57.8947368421053	52.9411764705882	67.7419354838709	58.3333333333333
2	58.8235294117647	71.0526315789474	49.0196078431373	100	65.7142857142857	93.3333333333334	78.4313725490196	93.1034482758621	67.5675675675676	38.5714285714286	80.7017543859649	56	67.2268907563025	80.5970149253732	56.8181818181818	55.6701030927835	72.4409448818898	70
	P-Surprise	P-Sadness	P-None	P-Fear	P-Disgust	P-Anger	R-Surprise	R-Sadness	R-None	R-Fear	R-Disgust	R-Anger	F1-Surprise	F1-Sadness	F1-None	F1-Fear	F1-Disgust	F1-Anger
1	70.5882352941177	73.6842105263158	43.1372549019608	100	60	93.3333333333333	90.5660377358491	96.551724137931	88	36	77.7777777777778	42.4242424242424	79.3388429752066	83.5820895522388	57.8947368421053	52.9411764705882	67.7419354838709	58.3333333333333
2	58.8235294117647	71.0526315789474	49.0196078431373	100	65.7142857142857	93.3333333333334	78.4313725490196	93.1034482758621	67.5675675675676	38.5714285714286	80.7017543859649	56	67.2268907563025	80.5970149253732	56.8181818181818	55.6701030927835	72.4409448818898	70
3	73.5294117647059	73.6842105263158	47.0588235294117	92.5925925925926	68.5714285714286	93.3333333333334	80.6451612903226	100	85.7142857142857	37.3134328358209	81.3559322033898	56	76.9230769230769	84.8484848484849	60.7594936708861	53.1914893617021	74.4186046511628	70
	P-Surprise	P-Sadness	P-None	P-Fear	P-Disgust	P-Anger	R-Surprise	R-Sadness	R-None	R-Fear	R-Disgust	R-Anger	F1-Surprise	F1-Sadness	F1-None	F1-Fear	F1-Disgust	F1-Anger
1	70.5882352941177	73.6842105263158	43.1372549019608	100	60	93.3333333333333	90.5660377358491	96.551724137931	88	36	77.7777777777778	42.4242424242424	79.3388429752066	83.5820895522388	57.8947368421053	52.9411764705882	67.7419354838709	58.3333333333333
2	58.8235294117647	71.0526315789474	49.0196078431373	100	65.7142857142857	93.3333333333334	78.4313725490196	93.1034482758621	67.5675675675676	38.5714285714286	80.7017543859649	56	67.2268907563025	80.5970149253732	56.8181818181818	55.6701030927835	72.4409448818898	70
3	73.5294117647059	73.6842105263158	47.0588235294117	92.5925925925926	68.5714285714286	93.3333333333334	80.6451612903226	100	85.7142857142857	37.3134328358209	81.3559322033898	56	76.9230769230769	84.8484848484849	60.7594936708861	53.1914893617021	74.4186046511628	70
4	72.0588235294118	73.6842105263158	43.1372549019608	96.2962962962963	61.4285714285714	93.3333333333334	85.9649122807018	96.551724137931	88	33.7662337662338	84.3137254901961	46.6666666666667	78.4	83.5820895522388	57.8947368421053	50	71.0743801652893	62.2222222222222
	P-Surprise	P-Sadness	P-None	P-Fear	P-Disgust	P-Anger	R-Surprise	R-Sadness	R-None	R-Fear	R-Disgust	R-Anger	F1-Surprise	F1-Sadness	F1-None	F1-Fear	F1-Disgust	F1-Anger
1	70.5882352941177	73.6842105263158	43.1372549019608	100	60	93.3333333333333	90.5660377358491	96.551724137931	88	36	77.7777777777778	42.4242424242424	79.3388429752066	83.5820895522388	57.8947368421053	52.9411764705882	67.7419354838709	58.3333333333333
2	58.8235294117647	71.0526315789474	49.0196078431373	100	65.7142857142857	93.3333333333334	78.4313725490196	93.1034482758621	67.5675675675676	38.5714285714286	80.7017543859649	56	67.2268907563025	80.5970149253732	56.8181818181818	55.6701030927835	72.4409448818898	70
3	73.5294117647059	73.6842105263158	47.0588235294117	92.5925925925926	68.5714285714286	93.3333333333334	80.6451612903226	100	85.7142857142857	37.3134328358209	81.3559322033898	56	76.9230769230769	84.8484848484849	60.7594936708861	53.1914893617021	74.4186046511628	70
4	72.0588235294118	73.6842105263158	43.1372549019608	96.2962962962963	61.4285714285714	93.3333333333334	85.9649122807018	96.551724137931	88	33.7662337662338	84.3137254901961	46.6666666666667	78.4	83.5820895522388	57.8947368421053	50	71.0743801652893	62.2222222222222
5	76.4705882352941	71.0526315789474	43.1372549019608	92.5925925925926	61.4285714285714	93.3333333333334	76.4705882352941	100	81.4814814814815	37.3134328358209	79.6296296296296	53.8461538461538	76.4705882352941	83.0769230769231	56.4102564102564	53.1914893617021	69.3548387096774	68.2926829268293
	P-Surprise	P-Sadness	P-None	P-Fear	P-Disgust	P-Anger	R-Surprise	R-Sadness	R-None	R-Fear	R-Disgust	R-Anger	F1-Surprise	F1-Sadness	F1-None	F1-Fear	F1-Disgust	F1-Anger
1	70.5882352941177	73.6842105263158	43.1372549019608	100	60	93.3333333333333	90.5660377358491	96.551724137931	88	36	77.7777777777778	42.4242424242424	79.3388429752066	83.5820895522388	57.8947368421053	52.9411764705882	67.7419354838709	58.3333333333333
